"Month","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Day_Visitors","Total","","","","","","","","",""
"May-05","380835","4198","945705","1330738","","","","","","","","",""
"Jun-05","279661","4801","838448","1122910","","","","","","","","",""
"Jul-06","321719","2547","663267","987533","","","","","","","","",""
"Aug-05","401386","4308","680732","1086426","","","","","","","","",""
"Sep-05","427997","2987","721679","1152663","","","","","","","","",""
"Oct-05","658235","5382","926764","1590381","","","","","","","","",""
"Nov-05","718800","6183","1011218","1736201","","","","","","","","",""
"Dec-05","771572","10127","1113971","1895670","","","","","","","","",""
"Jan-06","673136","15012","983817","1671965","","","","","","","","",""
"Feb-06","755815","23390","1881511","2660716","","","","","","","","",""
"Mar-06","737900","20715","783270","1541885","","","","","","","","",""
"Apr-06","749385","21635","787573","1558593","","","","","","","","",""